Bloco,Tag,Topico,Diretorio,Tela,Tipo
EP_MTLE,EP_LE_Torque_CLD,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_MTLE,EP_LE_Torque_CLE,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_MTLE,EP_MTLE_DISJ,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_MTLE,EP_MTLE_EM,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_MTLE,EP_MTLE_Trip,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
,EP_MTLE,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_MotorRev
EP_BBJack,EP_BBJack_DISJ,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_BBJack,EP_BBJack_EM,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_BBJack,EP_BBJack_TRIP,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
,EP_BBJack,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_Motor
EP_Motor,EP_FIT_06,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_AInAdv
EP_Motor,EP_Motor_DISJ,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_Motor,EP_Motor_TRIP,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_Motor,EP_PIT_01,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_AInAdv
EP_Motor,EP_TIT_03,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_AInAdv
EP_Motor,EP_TIT_04,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_AInAdv
EP_Motor,EP_Vazamento,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
,EP_Motor,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_Motor
EP_Damper,EP_CorrMedia_SR469,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_AInAdv
EP_Damper,EP_Damper_DISJ,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_Damper,EP_Damper_EM,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_Damper,EP_Damper_TRIP,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
,EP_Damper,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_ValveC
EP_BBLub_01,EP_BBLub_01_DISJ,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_BBLub_01,EP_BBLub_01_EM,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_BBLub_01,EP_BBLub_01_TRIP,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_BBLub_01,EP_LIT_01,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_AInAdv
,EP_BBLub_01,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_Motor
EP_BBLub_02,EP_BBLub_02_DISJ,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_BBLub_02,EP_BBLub_02_EM,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_BBLub_02,EP_BBLub_02_TRIP,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
,EP_BBLub_02,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_Motor
,EP_ResEstator,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DOut
,EP_ResEscovas,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DOut
EP_BBRec_02,EP_BBRec_02_TRIP,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
EP_BBRec_02,EP_RL_CC,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DOut
EP_BBRec_02,EP_RL_LSH,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
,EP_BBRec_02,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_Motor
EP_BBRec_01,EP_BBRec_01_TRIP,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
,EP_BBRec_01,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_Motor
,EP_RL_CURTO,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DInAdv
,EP_RL,S3PAC02_Exaustor,/Area1/Data3,(sinter-3) exaustor motor.xml,P_DOut
,FI_PT_27_2,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_AInAdv
FI_VPG,FI_EM,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_DInAdv
FI_VPG,FI_PSL_01,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_DInAdv
FI_VPG,FI_PSL_02,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_DInAdv
,FI_VPG,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_ValveSO
,FI_Vent02,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_PF755
,FI_Vent01,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_PF755
,FI_FCV_27_2,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_PIDE
,FI_VLG,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_ValveSO
,FI_FCV_27_1,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_PIDE
,FI_PCV_27_1,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_PIDE
,FI_DAC01,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_ValveSO
,FI_DAC02,S3PAC01_Principal,/Area1/Data3,(sinter-3) forno ignicao.xml,P_ValveSO
ST_VERS,ST_TIT_VM_LA,S3PAC01_Principal,/Area1/Data3,(sinter-3) maquina sinter.xml,P_AInAdv
ST_VERS,ST_TIT_VM_LL,S3PAC01_Principal,/Area1/Data3,(sinter-3) maquina sinter.xml,P_AInAdv
ST_VERS,ST_TIT_VR_LA,S3PAC01_Principal,/Area1/Data3,(sinter-3) maquina sinter.xml,P_AInAdv
ST_VERS,ST_TIT_VR_LL,S3PAC01_Principal,/Area1/Data3,(sinter-3) maquina sinter.xml,P_AInAdv
ST_VERS,ST_VERS_Gav,S3PAC01_Principal,/Area1/Data3,(sinter-3) maquina sinter.xml,P_DInAdv
ST_VERS,ST_VR_LA,S3PAC01_Principal,/Area1/Data3,(sinter-3) maquina sinter.xml,P_AInAdv
ST_VERS,ST_VR_LL,S3PAC01_Principal,/Area1/Data3,(sinter-3) maquina sinter.xml,P_AInAdv
ST_VERS,ST_Vers_Aquec,S3PAC01_Principal,/Area1/Data3,(sinter-3) maquina sinter.xml,P_DInAdv
ST_VERS,ST_Vers_Falha,S3PAC01_Principal,/Area1/Data3,(sinter-3) maquina sinter.xml,P_DInAdv
,ST_VERS,S3PAC01_Principal,/Area1/Data3,(sinter-3) maquina sinter.xml,P_Motor
,MS_LT_18,S3PAC01_Principal,/Area1/Data3,(sinter-3) maquina sinter.xml,P_AInAdv
